PVF.v_comp.VCC_Deadband,ShirleySouth,Vcomp,Deadband,,
PVF.v_comp.VCC_Gradient,ShirleySouth,Vcomp,Gradient,,
PVF.v_comp.VCC_Limit,ShirleySouth,Vcomp,Limit,,
PVF.droop_ctrl.FD_Mode,ShirleySouth,DroopCtrl,Mode,,
PVF.droop_ctrl.FD_Start_hi,ShirleySouth,DroopCtrl,StartHi,,
PVF.droop_ctrl.FD_Start_low,ShirleySouth,DroopCtrl,StartLow,,
PVF.droop_ctrl.FD_Hys_En,ShirleySouth,DroopCtrl,HysteresisEnable,,
PVF.droop_ctrl.FD_Hys_f,ShirleySouth,DroopCtrl,HysteresisF,,
PVF.droop_ctrl.FD_Gradient,ShirleySouth,DroopCtrl,Gradient,,
PVF.e_stop.PVF_Control_Estop,ShirleySouth,ModeControl,EStopCtrl,,
inv1.cfg.Inverter Power Level,ShirleySouth-PVPlant-Inverter1,Config,Nameplate,,
inv1.alarms.Critical_Alarms,ShirleySouth-PVPlant-Inverter1,HealthStatus,Alarms,,
inv1.alarms.Informative_Alarms_1,ShirleySouth-PVPlant-Inverter1,HealthStatus,Warnings,,
inv1.alarms.Informative_Alarms_2,ShirleySouth-PVPlant-Inverter1,ModeStatus,Status,,
inv1.alarms.UL_Recovery_Time_Left,ShirleySouth-PVPlant-Inverter1,ModeStatus,UL_recovery_time,,
inv1.solectria_meter.DC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_DC_internal,,V
inv1.solectria_meter.AC_Grid_Frequency,ShirleySouth-PVPlant-Inverter1,OpStatus,Freq,,Hz
inv1.solectria_meter.L1-to-L2_AC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_L1_L2_Internal,,V
inv1.solectria_meter.L2-to-L3_AC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_L2_L3_Internal,,V
inv1.solectria_meter.L1-to-L3_AC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_L1_L3_Internal,,V
